DATE ,PARTY NAME ,PARTICULAR ,COLOR ,IN-WORD,WASHING,OUT-WORD,EXTRA,RATE , AMOUNT ,DESIGN,G.P,2/,2=,2,2/=,111=,VIRUS ,QTY,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,350,,,,,0,JANOON (WHITE),,250,,100,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,250,,,,,0,UJALA (WHITE),,,250,,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,200,,,,,0,NAGIN (WHITE),,,,,200,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,37,,,,,0,KAJAL (WHITE),,,,,37,,,,,
20-Jun-2019,DATA BANGLE,RECEVIED,COPER,300,,,,,0,GOLA (WHITE),,120,120,60,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,15,,,,,0,UJALA (WHITE),,,,,15,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,250,,,,,0,JANOON (WHITE),,50,200,,,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,150,,,,,0,NAGIN (WHITE),,150,,,,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,50,,,,,0,UJALA (WHITE),,,50,,,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,180,,,,,0,UJALA (WHITE),,180,,,,,,,,
20-Jun-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,120,,,,,0,NAGIN (WHITE),,40,60,20,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,550,,,,,0,UJALA (WHITE),,200,150,200,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,74,,,,,0,NAGIN (WHITE),,,,,74,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,82,,,,,0,KAJAL (WHITE),,,,,82,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,800,,,,,0,UJALA (WHITE),,400,400,,,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,600,,,,,0,BARFI (WHITE),,300,200,100,,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,400,,200,,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,,600,,,,,,,
20-Jun-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,40,,,,,0,GOLA (WHITE),,,,,40,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,300,,,,,0,UJALA (WHITE),,150,100,50,,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,200,,,,,0,SAPNA (WHITE),,,,,200,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,200,,,,,0,JANOON (WHITE),,,,,200,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,300,,,,,0,UJALA (WHITE),,,200,100,,,,,,
20-Jun-2019,SAJJAD BANGLE,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,300,200,100,,,,,,
20-Jun-2019,AL SHAMS BANGLE,RECEVIED,GOLDEN,300,,,,,0,UJALA (WHITE),,150,100,50,,,,,,
20-Jun-2019,NEHAL SHAH,RECEVIED,GOLDEN,280,,,,,0,GOLA (BLACK),,80,100,100,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,300,,,,,0,UJALA (WHITE),,150,100,50,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,200,,,,,0,JANOON (WHITE),,,,,200,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,200,,,,,0,SAPNA (WHITE),,,,,200,,,,,
20-Jun-2019,AL SHADAB BANGLE,RECEVIED,GOLDEN,280,,,,,0,JANOON (WHITE),,,,,280,,,,,
20-Jun-2019,LAL QALANDAR,RECEVIED,GOLDEN,102,,,,,0,BHATTI KARA,,,,,,,,MIX,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,550,,,,,0,UJALA (WHITE),,450,100,,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,200,,,,,0,CHANDANI (WHITE),,,,,200,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,210,,,,,0,KAJAL (WHITE),,108,92,10,,,,,,
20-Jun-2019,REHAN FARHAN,RECEVIED,GOLDEN,200,,,,,0,GOLA (WHITE),,200,,,,,,,,
20-Jun-2019,QAZI AKRAM,RECEVIED,GOLDEN,100,,,,,0,SADA BHAR (WHITE),,,100,,,,,,,
20-Jun-2019,QAZI AKRAM,RECEVIED,GOLDEN,45,,,,,0,TAJ MEHAL (WHITE),,45,,,,,,,,
20-Jun-2019,QAZI AKRAM,RECEVIED,GOLDEN,408,,,,,0,GOLA MEAT (WHITE),,195,103,60,50,,,,,
20-Jun-2019,QAZI AKRAM,RECEVIED,GOLDEN,219,,,,,0,KAJAL (WHITE),,219,,,,,,,,
20-Jun-2019,MAHEEN BANGLE,RECEVIED,GOLDEN,270,,,,,0,KAJAL (WHITE),,90,90,90,,,,,,
20-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,BARFI (WHITE),,150,100,50,,,,,,
20-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,JANOON (WHITE),,150,100,50,,,,,,
20-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,KAJAL (WHITE),,150,100,50,,,,,,
20-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,NAGIN (WHITE),,150,100,50,,,,,,
20-Jun-2019,QAZI AKRAM,RECEVIED,GOLDEN,300,,,,,0,TAJ MEHAL (WHITE),,300,,,,,,,,
20-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,,0,JANOON (WHITE),,150,100,50,,,,,,
20-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,,0,KAJAL (WHITE),,150,100,50,,,,,,
20-Jun-2019,QAZI AKRAM,WASHING,GOLDEN,,200,,,,0,SADA BHAR (WHITE),,150,,50,,,,,,
20-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,550,,,,0,UJALA (WHITE),,450,100,,,,,,,
20-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,,0,BARFI (WHITE),,150,100,50,,,,,,
20-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,300,,,,0,UJALA (WHITE),,150,100,50,,,,,,
20-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,,0,NAGIN (WHITE),,150,100,50,,,,,,
20-Jun-2019,QAZI AKRAM,WASHING,GOLDEN,,219,,,,0,KAJAL (WHITE),,219,,,,,,,,
23-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,1270,,,,,0,UJALA (WHITE),,600,400,270,,,,,,
23-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,550,,,,0,UJALA (WHITE),,200,150,200,,,,,,
23-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,270,,,,0,KAJAL (WHITE),,90,90,90,,,,,,
25-Jun-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,1000,,,,,0,UJALA (WHITE),,,750,250,,,,,,
25-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,600,,,,,0,NAGIN (WHITE),,300,200,100,,,,,,
25-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,425,,,,,0,JANOON (WHITE),,200,150,75,,,,,,
25-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,165,,,,,0,TAJ MEHAL (WHITE),,165,,,,,,,,
25-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,1270,,,,0,UJALA (WHITE),,600,400,270,,,,,,
25-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,425,,,,0,JANOON (WHITE),,200,150,75,,,,,,
26-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,300,200,100,,,,,,
26-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,165,,,,0,TAJ MEHAL (WHITE),,165,,,,,,,,
26-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,350,,,,0,JANOON (WHITE),,250,,100,,,,,,
27-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,100,,,,,0,BARFI (WHITE),,,,,100,,,,,
27-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,100,,,,,0,SUAGUN (WHITE),,,,,100,,,,,
27-Jun-2019,MAKKAH BANGLE,RECEVIED,GOLDEN,2228,,,,,0,TAJ MEHAL (WHITE),,386,1160,682,,,,,,
27-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,TAJ MEHAL (WHITE),,150,100,50,,,,,,
27-Jun-2019,MAKKAH BANGLE,RECEVIED,GOLDEN,600,,,,,0,SADA BHAR (WHITE),,300,150,150,,,,,,
27-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,SAPNA (WHITE),,,,,200,,,,,
27-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,JANOON (WHITE),,,,,200,,,,,
27-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,135,,,,,0,TAJ MEHAL (WHITE),,135,,,,,,,,
27-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,600,,,,0,UJALA (WHITE),,300,200,100,,,,,,
27-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,600,,,,0,NAGIN (WHITE),,300,200,100,,,,,,
29-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,575,,,,,0,SADA BHAR (WHITE),,200,250,125,,,,,,
29-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,NAGIN (WHITE),,,,,,200,,,,
29-Jun-2019,MILAN BANGLE,RECEVIED,GOLDEN,280,,,,,0,TAJ MEHAL (WHITE),,,,,280,,,,,
29-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,135,,,,0,TAJ MEHAL (WHITE),,135,,,,,,,,
29-Jun-2019,MAKKAH BANGLE,WASHING,GOLDEN,,600,,,,0,SADA BHAR (WHITE),,300,150,150,,,,,,
30-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,100,,,,,0,SUAGUN (WHITE),,,,,100,,,,,
30-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,20,,,,,0,BARFI (WHITE),,,,,20,,,,,
30-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,425,,,,,0,GOLA (GOLDEN),,200,100,75,,50,,,,
30-Jun-2019,MILAP BANGLE,RECEVIED,GOLDEN,100,,,,,0,GOLA (GOLDEN),,,,,100,,,,,
30-Jun-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,,0,TAJ MEHAL (WHITE),,150,100,50,,,,,,
30-Jun-2019,MAHEEN BANGLE,WASHING,GOLDEN,,200,,,,0,SAPNA (WHITE),,,,,200,,,,,
30-Jun-2019,AL SHADAB BANGLE,WASHING,GOLDEN,,280,,,,0,JANOON (WHITE),,,,,280,,,,,
30-Jun-2019,MILAN BANGLE,WASHING,GOLDEN,,575,,,,0,SADA BHAR (WHITE),,200,250,125,,,,,,
2-Jul-2019,REHAN FARHAN,RECEVIED,GOLDEN,800,,,,,0,GOLA (WHITE),,,,700,,100,,,,
2-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,300,,,,,0,SADA BHAR (WHITE),,150,100,50,,,,,,
2-Jul-2019,MAKKAH BANGLE,WASHING,GOLDEN,,2228,,,,0,TAJ MEHAL (WHITE),,386,1160,682,,,,,,
3-Jul-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,600,,,,,0,UJALA (WHITE),,300,300,,,,,,,
3-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,594,,,,,0,UJALA (WHITE),,294,200,100,,,,,,
3-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,JANOON (WHITE),,,,,200,,,,,
3-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,200,,,,,0,BARFI (WHITE),,200,,,200,,,,,
